stem	video_class	fps	width	height	out_width	out_height	n_native_ffprobe	n_extracted	n_sampled	sampled_max_idx	check_indices	check_diffs	check_ok
RipBench-003	rip	30.0000	1280	720	1280	720	159	159	64	158	0,80,158	1.14,1.31,1.41	1
RipBench-004	rip	24.9102	1280	720	1280	720	1110	1110	313	1109	0,554,1109	2.49,2.32,2.23	1
RipBench-005	rip	30.0000	1280	720	1280	720	1172	1172	196	1171	0,589,1171	1.29,1.34,1.35	1
RipBench-006	rip	29.9700	1280	720	1280	720	1235	1235	289	1234	0,617,1234	3.28,2.13,2.04	1
RipBench-010	rip	25.0000	1280	720	1280	720	126	126	26	125	0,65,125	1.64,1.60,1.66	1
RipBench-011	rip	29.9700	1280	720	1280	720	82	82	82	81	0,41,81	1.68,2.70,2.79	1
RipBench-016	rip	29.9700	1920	1080	1280	720	941	941	158	940	0,473,940	2.60,2.50,2.52	1
RipBench-017	rip	29.9700	1920	1080	1280	720	9093	9093	1518	9092	0,4549,9092	2.78,3.04,2.83	1
RipBench-018	rip	29.9700	1920	1080	1280	720	10867	10867	1814	10866	0,5436,10866	3.13,3.21,3.14	1
RipBench-020	rip	29.9700	1920	1080	1280	720	825	825	138	824	0,415,824	2.85,2.52,2.76	1
RipBench-021	rip	29.9700	1920	1080	1280	720	19388	19388	3235	19387	0,9694,19387	3.00,3.07,3.04	1
RipBench-022	rip	29.9700	1920	1080	1280	720	1825	1825	305	1824	0,912,1824	2.99,3.12,2.96	1
RipBench-028	rip	29.9700	1920	1080	1280	720	316	316	54	315	0,160,315	2.88,2.33,2.20	1
RipBench-029	rip	29.9700	1920	1080	1280	720	1330	1330	223	1329	0,664,1329	2.54,2.60,2.45	1
RipBench-030	rip	29.9700	1920	1080	1280	720	264	264	45	263	0,132,263	2.73,2.60,2.34	1
RipBench-031	rip	29.9700	1920	1080	1280	720	1797	1797	301	1796	0,898,1796	2.46,2.63,2.54	1
RipBench-032	rip	29.9700	1920	1080	1280	720	812	812	136	811	0,409,811	2.69,2.55,2.48	1
RipBench-033	rip	29.9700	1920	1080	1280	720	2516	2516	421	2515	0,1258,2515	2.60,2.51,2.48	1
RipBench-034	rip	29.9700	1920	1080	1280	720	3623	3623	605	3622	0,1811,3622	3.00,3.01,2.76	1
RipBench-035	rip	29.9700	1920	1080	1280	720	1397	1397	234	1396	0,701,1396	2.61,2.90,3.06	1
RipBench-036	rip	29.9700	1920	1080	1280	720	1238	1238	207	1237	0,618,1237	2.87,2.82,2.64	1
RipBench-037	rip	29.9700	1920	1080	1280	720	1812	1812	303	1811	0,906,1811	3.01,2.94,3.07	1
RipBench-040	rip	29.9700	3840	2160	1280	720	2194	2194	367	2193	0,1096,2193	2.50,2.47,2.47	1
RipBench-041	rip	29.9700	1920	1080	1280	720	1814	1814	303	1813	0,906,1813	2.79,2.70,2.74	1
RipBench-042	rip	29.9700	1920	1080	1280	720	984	984	165	983	0,492,983	2.76,2.74,2.76	1
