timestamp	board	model	imgsz	provider	threads	n_timed	repeats	pre_ms	infer_ms	infer_std	post_ms	fps_total	task	temp_start_C	temp_end_C	throttled
2026-09-03 16:15	rpi4b_rev1.1_3.7GiB_debian13_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	CPUExecutionProvider	4	20	3	7.70	141.75	1.40	0.33	6.7	detect	48.7	59.9	0x0
2026-09-03 16:18	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	CPUExecutionProvider	4	300	3	7.44	137.37	0.13	0.34	6.9	detect	50.6	73.5	0x0
2026-09-03 16:23	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_512.onnx	512	CPUExecutionProvider	4	300	3	12.63	242.70	0.52	0.34	3.9	detect	61.8	79.4	0x0
2026-09-03 16:30	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	640	CPUExecutionProvider	4	300	3	23.98	401.86	5.05	0.34	2.3	detect	63.8	81.3	0x80008
2026-09-03 16:34	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	canon_bfi_n_s1_best_e18_384.onnx	384	CPUExecutionProvider	4	300	3	7.52	138.97	0.62	0.34	6.8	detect	62.3	81.8	0x80000
2026-09-03 16:39	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	canon_bfi_n_s1_best_e18_512.onnx	512	CPUExecutionProvider	4	300	3	13.11	248.25	4.50	0.35	3.8	detect	62.8	82.3	0x80008
2026-09-03 16:47	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	canon_bfi_n_s1_best_e18_640.onnx	640	CPUExecutionProvider	4	300	3	24.69	397.12	9.86	0.35	2.4	detect	61.8	82.3	0x80000
2026-09-03 16:56	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx	384	CPUExecutionProvider	4	300	3	8.13	435.57	8.09	0.36	2.3	detect	64.8	83.3	0xe0008
2026-09-03 17:09	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_s_s3_best_e3_512.onnx	512	CPUExecutionProvider	4	300	3	14.23	760.00	13.90	0.37	1.3	detect	63.8	83.8	0xe0008
2026-09-03 17:30	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_s_s3_best_e3_640.onnx	640	CPUExecutionProvider	4	300	3	27.57	1190.09	13.65	0.37	0.8	detect	64.3	83.8	0xe0008
