timestamp	board	model	imgsz	provider	threads	n_timed	repeats	pre_ms	infer_ms	infer_std	post_ms	fps_total	task	temp_start_C	temp_end_C	throttled
2026-09-04 13:07	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	CPUExecutionProvider	4	300	18	7.92	145.00	3.40	0.36	6.5	detect	48.7	83.3	0xe0008
2026-09-04 14:05	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	CPUExecutionProvider	4	300	60	2.51	38.49	0.14	0.12	24.3	detect	51.2	73.8	0x0
2026-09-04 13:21	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	640	CPUExecutionProvider	4	300	6	25.69	402.33	8.35	0.37	2.3	detect	62.8	83.3	0xe0008
2026-09-04 14:19	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	640	CPUExecutionProvider	4	300	20	7.00	118.29	0.27	0.12	8.0	detect	49.6	73.2	0x0
2026-09-04 13:35	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	canon_bfi_n_s1_best_e18_640.onnx	640	CPUExecutionProvider	4	300	6	25.75	396.18	5.65	0.37	2.4	detect	63.3	83.3	0xe0008
2026-09-04 14:34	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	canon_bfi_n_s1_best_e18_640.onnx	640	CPUExecutionProvider	4	300	20	7.02	118.52	0.52	0.12	8.0	detect	51.8	72.2	0x0
2026-09-04 13:50	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx	384	CPUExecutionProvider	4	300	6	8.32	427.76	8.81	0.37	2.3	detect	63.3	84.7	0xe0008
2026-09-04 14:48	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx	384	CPUExecutionProvider	4	300	22	2.49	113.10	0.18	0.12	8.6	detect	54.0	73.8	0x0
2026-09-04 14:04	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	yolo26n_cls_224_gate.onnx	224	CPUExecutionProvider	4	300	72	3.20	33.56	0.79	0.07	27.2	classify	64.8	84.2	0xe0008
2026-09-04 15:02	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	yolo26n_cls_224_gate.onnx	224	CPUExecutionProvider	4	300	294	0.95	7.41	0.03	0.03	119.3	classify	51.8	72.7	0x0
2026-09-04 20:26	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	CPUExecutionProvider	4	300	18	7.69	140.24	2.30	0.34	6.7	detect	47.7	82.3	0x80000
2026-09-04 20:40	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	640	CPUExecutionProvider	4	300	6	24.64	395.92	5.04	0.35	2.4	detect	62.3	82.3	0x80000
2026-09-04 20:54	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	canon_bfi_n_s1_best_e18_640.onnx	640	CPUExecutionProvider	4	300	6	24.92	388.11	5.88	0.35	2.4	detect	63.8	83.3	0x80000
2026-09-04 21:09	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx	384	CPUExecutionProvider	4	300	6	8.14	420.54	7.59	0.36	2.3	detect	62.3	83.3	0x80008
2026-09-04 21:23	raspberry_pi_4_model_b_rev_1.1_3.7gi_debian_trixie_heatsinks_no_fan	yolo26n_cls_224_gate.onnx	224	CPUExecutionProvider	4	300	72	3.11	32.17	0.74	0.07	28.3	classify	63.8	83.8	0x80008
