timestamp	board	os	model	precision	imgsz	provider	threads	task	duty	idle_W	load_W_mean	load_W_min	load_W_max	load_net_W	decisions_per_s	mJ_per_decision_gross	mJ_per_decision_net	readings_n	meter	meter_host	sample_window	latency_row_timestamp
2026-09-04 14:07:10 	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-v8	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	fp32_onnxruntime_cpu	384	CPUExecutionProvider	4	detect	continuous	2.610	6.560	6.300	6.700	3.950	6.500	1009.231	607.692	10	Shelly Plug M Gen3	http://shellyplugmg3-08927241b9d8.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 13:07
2026-09-04 14:07:11 	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-2712	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	fp32_onnxruntime_cpu	384	CPUExecutionProvider	4	detect	continuous	3.080	13.620	13.000	13.900	10.540	24.300	560.494	433.745	10	Shelly Plug M Gen3	http://shellyplugmg3-08927245a69c.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 14:05
2026-09-04 14:21:33 	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-v8	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	fp32_onnxruntime_cpu	640	CPUExecutionProvider	4	detect	continuous	2.610	5.990	5.900	6.200	3.380	2.300	2604.348	1469.565	10	Shelly Plug M Gen3	http://shellyplugmg3-08927241b9d8.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 13:21
2026-09-04 14:21:34 	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-2712	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	fp32_onnxruntime_cpu	640	CPUExecutionProvider	4	detect	continuous	3.080	12.730	12.400	13.300	9.650	8.000	1591.250	1206.250	10	Shelly Plug M Gen3	http://shellyplugmg3-08927245a69c.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 14:19
2026-09-04 14:35:44 	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-v8	canon_bfi_n_s1_best_e18_640.onnx	fp32_onnxruntime_cpu	640	CPUExecutionProvider	4	detect	continuous	2.610	5.950	5.800	6.000	3.340	2.400	2479.167	1391.667	10	Shelly Plug M Gen3	http://shellyplugmg3-08927241b9d8.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 13:35
2026-09-04 14:35:45 	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-2712	canon_bfi_n_s1_best_e18_640.onnx	fp32_onnxruntime_cpu	640	CPUExecutionProvider	4	detect	continuous	3.080	12.760	12.300	13.300	9.680	8.000	1595.000	1210.000	10	Shelly Plug M Gen3	http://shellyplugmg3-08927245a69c.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 14:34
2026-09-04 14:50:17 	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-v8	t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx	fp32_onnxruntime_cpu	384	CPUExecutionProvider	4	detect	continuous	2.610	6.120	6.000	6.400	3.510	2.300	2660.870	1526.087	10	Shelly Plug M Gen3	http://shellyplugmg3-08927241b9d8.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 13:50
2026-09-04 14:50:18 	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-2712	t1_nano_k025_t024_s1_s_s3_best_e3_384.onnx	fp32_onnxruntime_cpu	384	CPUExecutionProvider	4	detect	continuous	3.080	14.320	14.000	14.500	11.240	8.600	1665.116	1306.977	10	Shelly Plug M Gen3	http://shellyplugmg3-08927245a69c.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 14:48
2026-09-04 15:04:41 	raspberry_pi_4_model_b_rev_1.2_3.7gi_debian_trixie_bare_no_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-v8	yolo26n_cls_224_gate.onnx	fp32_onnxruntime_cpu	224	CPUExecutionProvider	4	classify	continuous	2.610	6.050	5.900	6.500	3.440	27.200	222.426	126.471	10	Shelly Plug M Gen3	http://shellyplugmg3-08927241b9d8.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 14:04
2026-09-04 15:04:41 	raspberry_pi_5_model_b_rev_1.0_7.9gi_debian_trixie_fan	Debian GNU/Linux 13 (trixie); kernel 6.18.34+rpt-rpi-2712	yolo26n_cls_224_gate.onnx	fp32_onnxruntime_cpu	224	CPUExecutionProvider	4	classify	continuous	3.080	14.240	14.000	14.400	11.160	119.300	119.363	93.546	10	Shelly Plug M Gen3	http://shellyplugmg3-08927245a69c.local/rpc/Switch.GetStatus?id=0	10 readings every 30 s after 180 s of a >=10 min load loop; idle settled 5 min then 10 readings every 30 s	2026-09-04 15:02
