timestamp	board	os	l4t	kernel	tensorrt	nvpmodel	jetson_clocks	model	imgsz	precision	engine	trt82_onnx	builder_workspace_mib	status	iterations	warmup_ms	latency_mean_ms	gpu_compute_mean_ms	throughput_qps	log	remote_build_log
2026-09-03 14:01:35 CEST	NVIDIA Jetson Nano Developer Kit	Ubuntu 18.04.6 LTS	R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	8201	MAXN	on	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	FP16	/home/user/device_runs/engines_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_384_trt82_fp16.plan	/home/user/device_kit/models_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_384_trt82.onnx	1024	passed	300	5000	18.6338	18.4559	52.612	/home/user/device_runs/logs_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_384_run.log	/home/user/device_runs/logs_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_384_build.log
2026-09-03 14:12:22 CEST	NVIDIA Jetson Nano Developer Kit	Ubuntu 18.04.6 LTS	R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	8201	MAXN	on	t1_nano_k025_t024_s1_n_s1_best_e2_512.onnx	512	FP16	/home/user/device_runs/engines_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_512_trt82_fp16.plan	/home/user/device_kit/models_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_512_trt82.onnx	1024	passed	300	5000	28.543	28.2317	34.0019	/home/user/device_runs/logs_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_512_run.log	/home/user/device_runs/logs_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_512_build.log
2026-09-03 14:24:39 CEST	NVIDIA Jetson Nano Developer Kit	Ubuntu 18.04.6 LTS	R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	8201	MAXN	on	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	640	FP16	/home/user/device_runs/engines_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_640_trt82_fp16.plan	/home/user/device_kit/models_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_640_trt82.onnx	1024	passed	300	5000	44.9862	44.5054	21.822	/home/user/device_runs/logs_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_640_run.log	/home/user/device_runs/logs_trt82/t1_nano_k025_t024_s1_n_s1_best_e2_640_build.log
2026-09-03 14:34:02 CEST	NVIDIA Jetson Nano Developer Kit	Ubuntu 18.04.6 LTS	R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	8201	MAXN	on	canon_bfi_n_s1_best_e18_384.onnx	384	FP16	/home/user/device_runs/engines_trt82/canon_bfi_n_s1_best_e18_384_trt82_fp16.plan	/home/user/device_kit/models_trt82/canon_bfi_n_s1_best_e18_384_trt82.onnx	1024	passed	300	5000	18.651	18.4731	52.6125	/home/user/device_runs/logs_trt82/canon_bfi_n_s1_best_e18_384_run.log	/home/user/device_runs/logs_trt82/canon_bfi_n_s1_best_e18_384_build.log
2026-09-03 14:44:54 CEST	NVIDIA Jetson Nano Developer Kit	Ubuntu 18.04.6 LTS	R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	8201	MAXN	on	canon_bfi_n_s1_best_e18_512.onnx	512	FP16	/home/user/device_runs/engines_trt82/canon_bfi_n_s1_best_e18_512_trt82_fp16.plan	/home/user/device_kit/models_trt82/canon_bfi_n_s1_best_e18_512_trt82.onnx	1024	passed	300	5000	28.4713	28.1605	34.0036	/home/user/device_runs/logs_trt82/canon_bfi_n_s1_best_e18_512_run.log	/home/user/device_runs/logs_trt82/canon_bfi_n_s1_best_e18_512_build.log
2026-09-03 14:57:11 CEST	NVIDIA Jetson Nano Developer Kit	Ubuntu 18.04.6 LTS	R32 (release), REVISION: 7.1, GCID: 29818004, BOARD: t210ref, EABI: aarch64, DATE: Sat Feb 19 17:05:08 UTC 2022	4.9.253-tegra	8201	MAXN	on	canon_bfi_n_s1_best_e18_640.onnx	640	FP16	/home/user/device_runs/engines_trt82/canon_bfi_n_s1_best_e18_640_trt82_fp16.plan	/home/user/device_kit/models_trt82/canon_bfi_n_s1_best_e18_640_trt82.onnx	1024	passed	300	5000	44.7661	44.2861	22.2253	/home/user/device_runs/logs_trt82/canon_bfi_n_s1_best_e18_640_run.log	/home/user/device_runs/logs_trt82/canon_bfi_n_s1_best_e18_640_build.log
2026-09-05 13:40:01 EEST	NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super	Ubuntu 22.04.5 LTS	R36 (release), REVISION: 4.2, GCID: 38685322, BOARD: generic, EABI: aarch64, DATE: Fri Dec 13 00:16:27 UTC 2024	5.15.148-tegra	100300	MAXN	on	t1_nano_k025_t024_s1_n_s1_best_e2_384.onnx	384	FP16	/home/user/device_runs/orin_trt103/engines/t1_384_fp16.plan	n/a	default	passed	300	5000	2.43961	2.33717	427.018	/home/user/device_runs/orin_trt103/logs/run_t1_384_fp16.log	/home/user/device_runs/orin_trt103/logs/build_t1_384_fp16_retry_group.log
2026-09-05 13:45:34 EEST	NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super	Ubuntu 22.04.5 LTS	R36 (release), REVISION: 4.2, GCID: 38685322, BOARD: generic, EABI: aarch64, DATE: Fri Dec 13 00:16:27 UTC 2024	5.15.148-tegra	100300	MAXN	on	t1_nano_k025_t024_s1_n_s1_best_e2_512.onnx	512	FP16	/home/user/device_runs/orin_trt103/engines/t1_512_fp16.plan	n/a	default	passed	300	5000	3.1045	2.89661	344.593	/home/user/device_runs/orin_trt103/logs/run_t1_512_fp16.log	/home/user/device_runs/orin_trt103/logs/build_t1_512_fp16.log
2026-09-05 13:51:26 EEST	NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super	Ubuntu 22.04.5 LTS	R36 (release), REVISION: 4.2, GCID: 38685322, BOARD: generic, EABI: aarch64, DATE: Fri Dec 13 00:16:27 UTC 2024	5.15.148-tegra	100300	MAXN	on	t1_nano_k025_t024_s1_n_s1_best_e2_640.onnx	640	FP16	/home/user/device_runs/orin_trt103/engines/t1_640_fp16.plan	n/a	default	passed	300	5000	4.30677	3.97355	251.164	/home/user/device_runs/orin_trt103/logs/run_t1_640_fp16.log	/home/user/device_runs/orin_trt103/logs/build_t1_640_fp16.log
2026-09-05 13:57:19 EEST	NVIDIA Jetson Orin Nano Engineering Reference Developer Kit Super	Ubuntu 22.04.5 LTS	R36 (release), REVISION: 4.2, GCID: 38685322, BOARD: generic, EABI: aarch64, DATE: Fri Dec 13 00:16:27 UTC 2024	5.15.148-tegra	100300	MAXN	on	canon_bfi_n_s1_best_e18_384.onnx	384	FP16	/home/user/device_runs/orin_trt103/engines/canon_bfi_384_fp16.plan	n/a	default	passed	300	5000	2.44281	2.33952	426.614	/home/user/device_runs/orin_trt103/logs/run_canon_bfi_384_fp16.log	/home/user/device_runs/orin_trt103/logs/build_canon_bfi_384_fp16.log
