timestamp	model	task	conf	F2_test	CI_lo	CI_hi	n_videos	B	pair_vs	delta	delta_lo	delta_hi
2026-08-26 03:58	canon_bfi_n_s2_best_e8	bbox_from_instance	0.04	0.5008	0.2642	0.6695	71	1000				
2026-08-26 03:58	t1_nano_k025_t024_s2_n_s1_best_e3	bbox_from_instance	0.13	0.5336	0.2544	0.7128	71	1000				
2026-08-26 01:39	t1_nano_k025_t024_s2_n_s1_best_e3	bbox_from_instance	0.13	0.5336			71	1000	canon_bfi_n_s2_best_e8	0.0327	-0.0310	0.0784
2026-08-26 03:58	canon_bfi_n_s2_best_e8	bbox	0.06	0.5177	0.2476	0.6956	71	1000				
2026-08-26 03:58	t1_nano_k025_t024_s2_n_s1_best_e3	bbox	0.14	0.5370	0.2577	0.7144	71	1000				
2026-08-26 01:39	t1_nano_k025_t024_s2_n_s1_best_e3	bbox	0.14	0.5370			71	1000	canon_bfi_n_s2_best_e8	0.0193	-0.0315	0.0601
2026-08-26 02:04	t1_nano_k025_t024_s1_n_s1_best_e2	bbox_from_instance	0.04	0.5130	0.2634	0.7033	71	1000				
2026-08-26 02:04	t1_nano_k025_t024_s1_n_s1_best_e2	bbox	0.04	0.5269	0.2558	0.7083	71	1000				
2026-08-26 03:58	canon_bfi_n_s3_best_e22	bbox_from_instance	0.04	0.4525	0.1836	0.6733	71	1000				
2026-08-26 03:58	canon_bfi_n_s3_best_e22	bbox	0.04	0.4631	0.2032	0.6855	71	1000				
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s3_best_e2	bbox_from_instance	0.07	0.5520	0.2730	0.7381	71	1000				
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s3_best_e2	bbox	0.07	0.5438	0.2830	0.7141	71	1000				
2026-08-26 02:38	t1_nano_k025_t024_s1_n_s3_best_e2	bbox_from_instance	0.07	0.5520			71	1000	canon_bfi_n_s3_best_e22	0.0995	0.0030	0.2121
2026-08-26 02:38	t1_nano_k025_t024_s1_n_s3_best_e2	bbox	0.07	0.5438			71	1000	canon_bfi_n_s3_best_e22	0.0807	-0.0069	0.1731
2026-08-26 03:58	interp_gt_s1_n_s2_best_e2	bbox_from_instance	0.07	0.5518	0.2746	0.7325	71	1000				
2026-08-26 03:58	interp_gt_s1_n_s3_best_e3	bbox_from_instance	0.03	0.4987	0.2143	0.6773	71	1000				
2026-08-26 03:58	interp_gt_s1_n_s2_best_e2	bbox	0.07	0.5552	0.2703	0.7498	71	1000				
2026-08-26 03:58	interp_gt_s1_n_s3_best_e3	bbox	0.04	0.5002	0.2050	0.6976	71	1000				
2026-08-26 03:09	t1_nano_k025_t024_s1_n_s3_best_e2	bbox_from_instance	0.07	0.5520			71	1000	interp_gt_s1_n_s3_best_e3	0.0533	0.0004	0.1373
2026-08-26 03:09	interp_gt_s1_n_s3_best_e3	bbox_from_instance	0.03	0.4987			71	1000	canon_bfi_n_s3_best_e22	0.0463	-0.0579	0.1654
2026-08-26 03:09	interp_gt_s1_n_s2_best_e2	bbox_from_instance	0.07	0.5518			71	1000	canon_bfi_n_s2_best_e8	0.0510	-0.0074	0.0919
2026-08-26 03:09	t1_nano_k025_t024_s1_n_s3_best_e2	bbox	0.07	0.5438			71	1000	interp_gt_s1_n_s3_best_e3	0.0435	-0.0077	0.1288
2026-08-26 03:09	interp_gt_s1_n_s3_best_e3	bbox	0.04	0.5002			71	1000	canon_bfi_n_s3_best_e22	0.0371	-0.0590	0.1416
2026-08-26 03:09	interp_gt_s1_n_s2_best_e2	bbox	0.07	0.5552			71	1000	canon_bfi_n_s2_best_e8	0.0375	-0.0105	0.0736
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s2_best_e2	bbox_from_instance	0.06	0.5274	0.2654	0.6953	71	1000				
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s2_best_e2	bbox_from_instance	0.06	0.5274			71	1000	canon_bfi_n_s2_best_e8	0.0266	-0.0395	0.0737
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s2_best_e2	bbox_from_instance	0.06	0.5274			71	1000	interp_gt_s1_n_s2_best_e2	-0.0245	-0.0798	0.0413
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s2_best_e2	bbox	0.10	0.5256	0.2418	0.6941	71	1000				
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s2_best_e2	bbox	0.10	0.5256			71	1000	canon_bfi_n_s2_best_e8	0.0079	-0.0504	0.0525
2026-08-26 03:58	t1_nano_k025_t024_s1_n_s2_best_e2	bbox	0.10	0.5256			71	1000	interp_gt_s1_n_s2_best_e2	-0.0296	-0.0798	0.0176
2026-08-26 04:18	t1_nano_k025_t024_s4_n_s1_best_e4	bbox_from_instance	0.07	0.4655	0.1885	0.6665	71	1000				
2026-08-26 04:18	t1_nano_k025_t024_s4_n_s1_best_e4	bbox	0.09	0.4666	0.1615	0.6710	71	1000				
2026-08-26 04:28	t1_nano_k0_t024_s1_n_s1_best_e2	bbox_from_instance	0.04	0.4966	0.2471	0.6871	71	1000				
2026-08-26 04:28	t1_nano_k0_t024_s1_n_s1_best_e2	bbox	0.04	0.5119	0.2523	0.6898	71	1000				
2026-08-26 04:28	canon_bfi_n_s2_best_e8	bbox_from_instance	0.04	0.5008	0.2642	0.6695	71	1000				
2026-08-26 04:28	canon_bfi_n_s3_best_e22	bbox_from_instance	0.04	0.4525	0.1836	0.6733	71	1000				
2026-08-26 04:28	interp_gt_s1_n_s2_best_e2	bbox_from_instance	0.07	0.5518	0.2746	0.7325	71	1000				
2026-08-26 04:28	interp_gt_s1_n_s3_best_e3	bbox_from_instance	0.03	0.4987	0.2143	0.6773	71	1000				
2026-08-26 04:28	kd_bfi_x_n_s2_best_e21	bbox_from_instance	0.02	0.4889	0.2267	0.6952	71	1000				
2026-08-26 04:28	t1_nano_k025_t024_s1_n_s1_best_e2	bbox_from_instance	0.04	0.5130	0.2556	0.7127	71	1000				
2026-08-26 04:28	t1_nano_k025_t024_s1_n_s2_best_e2	bbox_from_instance	0.06	0.5274	0.2474	0.7036	71	1000				
2026-08-26 04:28	t1_nano_k025_t024_s1_n_s3_best_e2	bbox_from_instance	0.07	0.5520	0.2927	0.7416	71	1000				
2026-08-26 04:29	t1_nano_k025_t024_s2_n_s1_best_e3	bbox_from_instance	0.13	0.5336	0.2731	0.7055	71	1000				
2026-08-26 04:29	t1_nano_k025_t024_s4_n_s1_best_e4	bbox_from_instance	0.07	0.4655	0.1897	0.6851	71	1000				
2026-08-26 04:29	t1_nano_k0_t024_s1_n_s1_best_e2	bbox_from_instance	0.04	0.4966	0.2531	0.7120	71	1000				
2026-08-26 04:29	t1_nano_k025_t024_s1_n_s1_best_e2	bbox_from_instance	0.04	0.5130			71	1000	t1_nano_k0_t024_s1_n_s1_best_e2	0.0164	-0.0311	0.0653
2026-08-26 04:29	canon_bfi_n_s2_best_e8	bbox	0.06	0.5177	0.2393	0.6834	71	1000				
2026-08-26 04:29	canon_bfi_n_s3_best_e22	bbox	0.04	0.4631	0.2013	0.6753	71	1000				
2026-08-26 04:29	interp_gt_s1_n_s2_best_e2	bbox	0.07	0.5552	0.2821	0.7435	71	1000				
2026-08-26 04:29	interp_gt_s1_n_s3_best_e3	bbox	0.04	0.5002	0.1847	0.6976	71	1000				
2026-08-26 04:29	kd_bfi_x_n_s2_best_e21	bbox	0.02	0.5273	0.2554	0.7146	71	1000				
