variant	n_seeds	seeds	best_epochs	bfi_F2_mean	bfi_F2_std	bfi_AP50_mean	bfi_AP5095_mean	tight_F2_mean	tight_F2_std	tight_AP50_mean
canon_bfi_n	3	1,2,3	18,8,22	0.4834	0.0219	0.4441	0.1910	0.5002	0.0262	0.4646
canon_bfi_s	3	1,2,3	1,25,17	0.4793	0.0543	0.4347	0.1660	0.4985	0.0349	0.4802
h50_interp_n	3	1,2,3	6,4,6	0.3973	0.0096	0.3390	0.1292	0.4088	0.0087	0.3677
h50_interp_negall_n	3	1,2,3	3,3,3	0.3855	0.0268	0.3537	0.1266	0.4145	0.0163	0.3809
h50_interp_s	2	1,2	2,3	0.4160	0.0148	0.3802	0.1372	0.4196	0.0118	0.3776
h50_sparse_n	3	1,2,3	35,24,31	0.3904	0.0364	0.3337	0.1278	0.4133	0.0272	0.3720
h50_sparse_s	2	1,2	9,15	0.3598	0.0149	0.2639	0.0810	0.3715	0.0148	0.2927
h50_teacher_cme_n	1	1	3	0.4472		0.4260	0.2052	0.4684		0.4567
h50_teacher_dropempty_n	1	1	3	0.4660		0.4247	0.2200	0.4971		0.4706
h50_teacher_n	3	1,2,3	2,2,3	0.4582	0.0095	0.3978	0.1735	0.4757	0.0035	0.4327
interp_gt_a16_n	1	1	3	0.4325		0.4135	0.1784	0.4497		0.4265
interp_gt_a2_n	1	1	2	0.4703		0.4723	0.2231	0.4697		0.4678
interp_gt_a4_n	1	1	3	0.5204		0.5021	0.2295	0.5160		0.4991
interp_gt_a8_n	1	1	2	0.4740		0.4786	0.1702	0.4871		0.4829
interp_gt_s1_n	3	1,2,3	2,2,3	0.5073	0.0334	0.4898	0.2217	0.5077	0.0361	0.4810
interp_gt_s1_s	3	1,2,3	2,2,1	0.5239	0.0279	0.4971	0.2135	0.5219	0.0242	0.4940
kd_bfi_x_n	3	1,2,3	17,21,22	0.4805	0.0139	0.4360	0.2105	0.5039	0.0249	0.4730
kd_interp_n	2	2,3	2,3	0.5010	0.0005	0.4850	0.2143	0.5100	0.0114	0.4894
kd_t1_n	3	1,2,3	3,3,2	0.5116	0.0172	0.4825	0.1976	0.5228	0.0143	0.5010
t1_nano_k025_t015_s1_n	1	1	3	0.5256		0.5078	0.2174	0.5311		0.5159
t1_nano_k025_t024_s1_keepempty_n	1	1	2	0.5064		0.4877	0.2167	0.5095		0.4883
t1_nano_k025_t024_s1_n	3	1,2,3	2,2,2	0.5308	0.0161	0.5047	0.2324	0.5321	0.0083	0.5040
t1_nano_k025_t024_s1_noneg_n	3	1,2,3	4,3,3	0.5015	0.0290	0.4678	0.2129	0.5180	0.0259	0.4906
t1_nano_k025_t024_s1_s	3	1,2,3	1,1,3	0.5499	0.0126	0.5051	0.2256	0.5567	0.0185	0.5227
t1_nano_k025_t024_s2_n	3	1,2,3	3,25,2	0.5198	0.0252	0.4931	0.1897	0.5140	0.0173	0.4868
t1_nano_k025_t024_s2_s	3	1,2,3	2,3,3	0.4924	0.0119	0.4391	0.2009	0.4961	0.0105	0.4559
t1_nano_k025_t024_s4_n	3	1,2,3	4,10,24	0.5086	0.0326	0.4919	0.2300	0.5110	0.0329	0.4990
t1_nano_k025_t024_s4_s	3	1,2,3	2,2,4	0.5522	0.0331	0.5279	0.2384	0.5452	0.0186	0.5205
t1_nano_k025_t035_s1_n	1	1	2	0.5351		0.5126	0.2262	0.5430		0.5146
t1_nano_k0_t024_s1_n	3	1,2,3	2,2,2	0.5115	0.0250	0.4899	0.2217	0.5146	0.0169	0.4941
t1_nanoadd_k025_t024_s1_n	1	1	24	0.5402		0.5109	0.2360	0.5406		0.5064
t1sX_ft_canon_bfi_n	1	1	1	0.4451		0.3960	0.1666	0.4627		0.4291
t1sX_ftlow_canon_bfi_n	3	1,2,3	6,5,5	0.5052	0.0179	0.4738	0.2185	0.5131	0.0170	0.4794
