timestamp	name	view	init	seed	epochs_max	patience	best_epoch	stopped_epoch	n_train_images	samples_seen	extra	best_model	job
2026-08-26 00:38	canon_bfi_n_s2	canonical_bfi	yolo26n.pt	2	300	50	8	58	31083	1802814	{}	<cluster-home>	3172372
2026-08-26 01:10	t1_nano_k025_t024_s2_n_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s2	yolo26n.pt	1	60	15	3	18	108387	1950966	{}	<cluster-home>	3172402
2026-08-26 01:50	t1_nano_k025_t024_s1_n_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26n.pt	1	60	15	2	17	191258	3251386	{}	train/edge_distill/best_models/t1_nano_k025_t024_s1_n_s1_best_e2.pt
2026-08-26 01:43	canon_bfi_n_s3	canonical_bfi	yolo26n.pt	3	300	50	22	72	31083	2237976	{}	<cluster-home>	3172376
2026-08-26 02:19	t1_nano_k025_t024_s1_n_s3	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26n.pt	3	60	15	2	17	191258	3251386	{}	<cluster-home>	3172378
2026-08-26 02:44	interp_gt_s1_n_s2	interp_gt_s1	yolo26n.pt	2	60	15	2	17	191613	3257421	{}	<cluster-home>	3172380
2026-08-26 02:49	interp_gt_s1_n_s3	interp_gt_s1	yolo26n.pt	3	60	15	3	18	191613	3449034	{}	<cluster-home>	3172381
2026-08-26 03:30	t1_nano_k025_t024_s1_n_s2	t1_rfdetr_seg_nano_k0.25_t0.24_s1	yolo26n.pt	2	60	15	2	17	191258	3251386	{}	<cluster-home>	3172377
2026-08-26 03:52	t1_nano_k025_t024_s4_n_s1	t1_rfdetr_seg_nano_k0.25_t0.24_s4	yolo26n.pt	1	60	15	4	19	69609	1322571	{}	<cluster-home>	3173090
2026-08-26 04:05	t1_nano_k0_t024_s1_n_s1	t1_rfdetr_seg_nano_k0_t0.24_s1	yolo26n.pt	1	60	15	2	17	191616	3257472	{}	<cluster-home>	3172401
2026-08-26 04:13	kd_bfi_x_n_s2	canonical_bfi	yolo26n.pt	2	300	50	21	71	31083	2206893	{"distill_model": "9_bfi_yolo26_xlarge_best_e21_j2853807.pt", "dis": 6.0}	<cluster-home>	3172397
2026-08-26 04:23	kd_bfi_x_n_s3	canonical_bfi	yolo26n.pt	3	300	50	22	72	31083	2237976	{"distill_model": "9_bfi_yolo26_xlarge_best_e21_j2853807.pt", "dis": 6.0}	<cluster-home>	3172398
