epoch	fullval_segm_AP50_95	fullval_segm_AP50	fullval_bfi_F2	fullval_bfi_conf	proxy_ema_segm_AP50_95	model
2	0.275073	0.574542	0.562863	0.24		1_seg_rfdetr_nano_h50e02_ema
3	0.283332	0.591247	0.593003	0.23		1_seg_rfdetr_nano_h50e03_ema
4	0.286085	0.607526	0.601721	0.23		1_seg_rfdetr_nano_h50e04_ema
5	0.294318	0.581049	0.585153	0.20		1_seg_rfdetr_nano_h50e05_ema
6	0.298075	0.604241	0.603454	0.23		1_seg_rfdetr_nano_h50e06_ema
7	0.288264	0.593705	0.584807	0.25		1_seg_rfdetr_nano_h50e07_ema
8	0.294030	0.586119	0.589760	0.25	0.29167652130126953	1_seg_rfdetr_nano_h50e08_ema
9	0.292013	0.586500	0.592026	0.23		1_seg_rfdetr_nano_h50e09_ema
10	0.283687	0.575707	0.579888	0.21	0.2794230878353119	1_seg_rfdetr_nano_h50e10_ema
11	0.275415	0.550390	0.564034	0.21		1_seg_rfdetr_nano_h50e11_ema
12	0.282663	0.577372	0.587021	0.22	0.2773776948451996	1_seg_rfdetr_nano_h50e12_ema
13	0.278553	0.576024	0.577309	0.20		1_seg_rfdetr_nano_h50e13_ema
14	0.275902	0.562420	0.576948	0.22	0.27480894327163696	1_seg_rfdetr_nano_h50e14_ema
15	0.286609	0.578275	0.586284	0.23		1_seg_rfdetr_nano_h50e15_ema
16	0.282779	0.574785	0.581486	0.23	0.2843180000782013	1_seg_rfdetr_nano_h50e16_ema
17	0.281917	0.575358	0.576367	0.20		1_seg_rfdetr_nano_h50e17_ema
18	0.290918	0.592297	0.592978	0.22	0.28711995482444763	1_seg_rfdetr_nano_h50e18_ema
